GOBIERNO,SIGLAS,DEPENDENCIA,CLAVEUC,NOMBRE_DE_LA_UC,RESPONSABLE,NUMERO_EXPEDIENTE,TITULO_EXPEDIENTE,PLANTILLA_EXPEDIENTE,NUMERO_PROCEDIMIENTO,EXP_F_FALLO,PROC_F_PUBLICACION,FECHA_APERTURA_PROPOSICIONES,CARACTER,TIPO_CONTRATACION,TIPO_PROCEDIMIENTO,FORMA_PROCEDIMIENTO,CODIGO_CONTRATO,TITULO_CONTRATO,FECHA_INICIO,FECHA_FIN,IMPORTE_CONTRATO,MONEDA,ESTATUS_CONTRATO,ARCHIVADO,RAMO,CLAVE_PROGRAMA,APORTACION_FEDERAL,FECHA_CELEBRACION,CONTRATO_MARCO,COMPRA_CONSOLIDADA,PLURIANUAL,CLAVE_CARTERA_SHCP,ESTRATIFICACION_MUC,PROVEEDOR_CONTRATISTA,ESTRATIFICACION_MPC,ESTATUS_EMPRESA,CUENTA_ADMINISTRADA_POR,ANUNCIO
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,289188,CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN COMPETENCIAS DIDÁCTICAS,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N51-2012,,2012-10-30 19:24,2012-11-07 14:30,Nacional,Servicios,Adjudicación Directa Federal,Mixta,285948,CURSO DE CAPACITACION DE COMPETENCIAS DIDACTICAS,2012-12-03,2012-12-07,100000,MXN,Expirado,No,,,,,0,0,0,,No MIPYME,ELSA MENDEZ SILVA,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=183420
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,289078,ADQUISICIÓN DE INSUMOS DE CAFETERIA PARA PROGRAMAS ESPECIALES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N47-2012,,2012-10-30 19:57,2012-11-07 12:30,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,280113,LOTE 2 PSNFCySPMEB DGOSE,2012-11-22,2012-11-30,28143,MXN,Expirado,No,,,,,0,0,0,,Micro,ANGEL REYES REYES,,Habilitado,UC,
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,288938,ADQUISICIÓN DE MATERIAL DE OFICINA PARA PROGRAMAS ESPECIALES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N46-2012,,2012-10-30 20:09,2012-11-07 14:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,280111,LOTE 1 PESIV DGOSE MATERIALES Y UTILES DE OFICINA ,2012-11-22,2012-11-30,43683.4,MXN,Expirado,No,,,,2012-11-22 00:00:00 GMT,0,0,0,,Micro,MARIA DE LOURDES HERNANDEZ HERNANDEZ,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=183333
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,288938,ADQUISICIÓN DE MATERIAL DE OFICINA PARA PROGRAMAS ESPECIALES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N46-2012,,2012-10-30 20:09,2012-11-07 14:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,280108,LOTE 1 PESIV DGOSE MATERIALES Y UTILES DE OFICINA ,2012-11-22,2012-11-30,97965.9,MXN,Expirado,No,,,,2012-11-22 00:00:00 GMT,0,0,0,,Micro,MARIA DE LOURDES HERNANDEZ HERNANDEZ,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=183333
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,288938,ADQUISICIÓN DE MATERIAL DE OFICINA PARA PROGRAMAS ESPECIALES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N46-2012,,2012-10-30 20:09,2012-11-07 14:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,280106,LOTE 1 PESIV DGOSE MATERIALES Y UTILES DE OFICINA ,2012-11-22,2012-11-30,27811.32,MXN,Expirado,No,,,,2012-11-22 00:00:00 GMT,0,0,0,,Micro,DISTRIBUIDOR URKO Y DRAGO SA DE CV,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=183333
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,289078,ADQUISICIÓN DE INSUMOS DE CAFETERIA PARA PROGRAMAS ESPECIALES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N47-2012,,2012-10-30 19:57,2012-11-07 12:30,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,280112,LOTE 1 PSNFCySPMEB DGOSE,2012-11-22,2012-11-30,29976.16,MXN,Expirado,No,,,,,0,0,0,,Micro,DISTRIBUCIONES LIMONTA SA DE CV,Pequeña,Habilitado,PoC,
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,288009,CONTRATACIÓN DEL DIPLOMADO EN COMPETENCIAS DE LIDERAZGO EDUCATIVO ,04. Invitación a cuando menos tres Nacional LAASSP,IA-011C00999-N45-2012,2012-11-06 00:00:00 GMT,2012-10-30 14:36,2012-11-05 13:00,Nacional,Servicios,Invitación a Cuando Menos 3 Personas,Mixta,242140,DIPLOMADO COMPETENCIAS DE LIDERAZGO,2012-11-06,2012-12-19,1580939,MXN,Expirado,No,,,,,0,0,0,,Pequeña,"INSTITUTO DE ENLACES EDUCATIVOS, A.C.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=182641
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,213997,CONTRATACIÓN DE CAPACITACIÓN A SECUNDARIAS,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N15-2012,,,2012-07-12 00:00:00 GMT,Nacional,Servicios,Adjudicación Directa Federal,Mixta,207463,CAPACITACIÓN A SECUNDARIAS,2012-10-17,2012-11-15,387931.03,MXN,Expirado,No,,,,,0,0,0,,Pequeña,"ROGAL OFFSHORE DE MÉXICO, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=174216
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,219474,ADQUISICIÓN DE MATERIAL ELECTRICO Y HERRAMIENTAS MENORES PARA EL CDIAR,04. Invitación a cuando menos tres Nacional LAASSP,IA-011C00999-N33-2012,2012-07-25 00:00:00 GMT,2012-07-13 19:10,2012-07-25 15:00,Nacional,Adquisiciones,Invitación a Cuando Menos 3 Personas,Mixta,218440,MATERIAL ELECTRICO Y HERRAMIENTAS MENORES,2012-08-14,2012-09-28,1330190.8,MXN,Expirado,No,,,,,0,0,0,,Micro,"COMERCIALIZADORA JURVAN, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=136543
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,211546,ADQUISICIÓN DE MATERIAL DIDÁCTICO Y/O CAJA DE PATIO DE EDUCACIÓN FÍSICA ,01. Licitación Pública Nacional LAASSP,LA-011C00999-N3-2012,2012-07-30 00:00:00 GMT,2012-07-10 14:45,2012-07-25 10:00,Nacional,Adquisiciones,Licitación Pública,Mixta,216605,"LOTE 1 PRIMARIA, ESPECIAL Y SECUNDARIA",2012-08-14,2012-09-14,31032250,MXN,Expirado,No,,,,2012-08-14 00:00:00 GMT,0,0,0,,Pequeña,SUMINISTROS DE MATERIAL DIDACTICO Y PEDAGOGICO SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=131797
