GOBIERNO,SIGLAS,DEPENDENCIA,CLAVEUC,NOMBRE_DE_LA_UC,RESPONSABLE,NUMERO_EXPEDIENTE,TITULO_EXPEDIENTE,PLANTILLA_EXPEDIENTE,NUMERO_PROCEDIMIENTO,EXP_F_FALLO,PROC_F_PUBLICACION,FECHA_APERTURA_PROPOSICIONES,CARACTER,TIPO_CONTRATACION,TIPO_PROCEDIMIENTO,FORMA_PROCEDIMIENTO,CODIGO_CONTRATO,TITULO_CONTRATO,FECHA_INICIO,FECHA_FIN,IMPORTE_CONTRATO,MONEDA,ESTATUS_CONTRATO,ARCHIVADO,RAMO,CLAVE_PROGRAMA,APORTACION_FEDERAL,FECHA_CELEBRACION,CONTRATO_MARCO,COMPRA_CONSOLIDADA,PLURIANUAL,CLAVE_CARTERA_SHCP,ESTRATIFICACION_MUC,PROVEEDOR_CONTRATISTA,ESTRATIFICACION_MPC,ESTATUS_EMPRESA,CUENTA_ADMINISTRADA_POR,ANUNCIO
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,705446,"CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN PARA IMPARTIR EL TALLER ""LA RESILENCIA",07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N123-2014,,2014-11-12 19:21,2014-11-13 11:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,660477,"CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN PARA IMPARTIR EL TALLER ""LA RESILENCIA ",2014-11-24,2014-11-26,129310.34,MXN,Expirado,No,,,,2014-11-24 00:00:00 GMT,0,0,0,,Pequeña,"SERCA SERVICIOS Y CAPACITACIÓN A SU ALCANCE, S.C.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=475908
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,717238,TALLER DE RELACIONES INTERPERSONALES Y RESOLUCION DE CONFLICTOS,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N166-2014,,2014-11-15 14:36,2014-11-15 15:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,665955, TALLER DE RELACIONES INTERPERSONALES Y RESOLUCION DE CONFLICTOS ,2014-11-21,2014-11-29,344827.6,MXN,Expirado,No,,,,2014-11-21 00:00:00 GMT,0,0,0,,Pequeña,"ADLIB, SOLUCIONES EDUCATIVAS, S.C.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=484022
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,710549,"Capacitación ""Encuentro Musical de Chav@s: N- Rola Tu Idea",07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N133-2014,,2014-11-06 19:02,2014-11-12 14:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,660734,"Capacitación ""Encuentro Musical de Chav@s: N- Rola Tu Idea",2014-11-18,2014-12-11,328000,MXN,Expirado,No,,,,2014-11-18 00:00:00 GMT,0,0,0,,Micro,HUGO HERNÁNDEZ MONTES,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=479551
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,696693,"CONTRATACIÓN DE LOS SERVICIOS DE CAPACITACIÓN PARA IMPARTIR EL CURSO ""DÍA, SER ",07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N111-2014,,2014-10-24 10:46,2014-10-29 13:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,660287,"CONTRATACIÓN DE LOS SERVICIOS DE CAPACITACIÓN PARA IMPARTIR EL CURSO ""DÍA, SER ",2014-11-18,2014-11-24,130000,MXN,Expirado,No,,,,2014-11-18 00:00:00 GMT,0,0,0,,Micro,LA VACA INDEPENDIENTE,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=469672
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,708371,CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN DEL TALLER DE MATEMÁTICAS RECREATIVAS ,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N132-2014,,2014-11-12 19:05,2014-11-13 11:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,660723, CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN DEL TALLER DE MATEMÁTICAS RECREATIVAS ,2014-11-18,2014-12-19,280000,MXN,Expirado,No,,,,2014-11-18 00:00:00 GMT,0,0,0,,No MIPYME,JOSE VIRGILIO LOPEZ VERGARA Y VILLARREAL,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=477934
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,705577,"CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN DEL CURSO ""HABILIDADES DIRECTIVAS DE L",07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N124-2014,,2014-11-12 19:20,2014-11-13 13:00,Nacional,Servicios,Adjudicación Directa Federal,Mixta,660502,"CONTRATACIÓN DEL SERVICIO DE CAPACITACIÓN DEL CURSO ""HABILIDADES DIRECTIVAS DE L",2014-11-18,2014-11-20,129689.66,MXN,Expirado,No,,,,2014-11-18 00:00:00 GMT,0,0,0,,Micro,"AVATAR APRENDIZAJE Y POTENCIAL, S.C.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=475929
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,716880,ADQUISICIÓN DE MATERIAL ELÉCTRICO Y ELECTRÓNICO PARA LA DGENAM,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N161-2014,,2014-11-14 22:16,2014-11-15 14:40,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,661880, ADQUISICIÓN DE MATERIAL ELÉCTRICO Y ELECTRÓNICO PARA LA DGENAM ,2014-11-17,2014-12-31,389000,MXN,Expirado,No,,,,,0,0,0,,Micro,"COMERCIALIZADORA JYD, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=483829
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,714821,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO Y CONSERVACIÓN DE INMUEBLES,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N141-2014,,2014-11-12 18:42,2014-11-13 18:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,663339,CONTRATACIÓN DEL SERVICIO DE MANTENIMIENTO Y CONSERVACIÓN DE INMUEBLES ,2014-11-17,2014-12-18,306921,MXN,Terminado,No,,,,2014-11-17 00:00:00 GMT,0,0,0,,No MIPYME,"INDUSTRIAS PIKAJE, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=482404
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,716909,ADQUISICIÓN DE TONER,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N162-2014,,2014-11-15 14:35,2014-11-15 15:00,Nacional,Adquisiciones,Adjudicación Directa Federal,Mixta,661846,ADQUISICIÓN DE TONER ,2014-11-17,2014-12-21,33783.76,MXN,Expirado,No,,,,,0,0,0,,Micro,DISTRIBUCIONES LIMONTA SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=483854
APF,AFSEDF,Administración Federal de Servicios Educativos en el Distrito Federal,011C00999,AFSEDF-ADMINISTRACIÓN FEDERAL DE SERVICIOS EDUCATIVOS EN EL DISTRITO FEDERAL,María Teresa Lorenzana Riojas,717275,TALLER DE SENSIBILIZACION EN PROMOCION DE LA LECTURA PARA ESCUELAS SECUNDARIAS D,07. Adjudicación Directa Nacional Art. 42 LAASSP,AA-011C00999-N169-2014,,2014-11-15 14:38,2014-11-15 15:15,Nacional,Servicios,Adjudicación Directa Federal,Mixta,662320, TALLER DE SENSIBILIZACION EN PROMOCION DE LA LECTURA PARA ESCUELAS SECUNDARIAS D ,2014-11-15,2014-11-29,346639,MXN,Expirado,No,,,,2014-11-15 00:00:00 GMT,0,0,0,,Micro,"ENSAMBLE ALEJANDRIA DE ARTE Y LECTURA, S.C.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=484047
