,SIGLAS,DEPENDENCIA,CLAVEUC,NOMBRE_DE_LA_UC,RESPONSABLE,NUMERO_EXPEDIENTE,TITULO_EXPEDIENTE,PLANTILLA_EXPEDIENTE,NUMERO_PROCEDIMIENTO,EXP_F_FALLO,PROC_F_PUBLICACION,FECHA_APERTURA_PROPOSICIONES,CARACTER,TIPO_CONTRATACION,TIPO_PROCEDIMIENTO,FORMA_PROCEDIMIENTO,CODIGO_CONTRATO,TITULO_CONTRATO,FECHA_INICIO,FECHA_FIN,IMPORTE_CONTRATO,MONEDA,ESTATUS_CONTRATO,ARCHIVADO,RAMO,CLAVE_PROGRAMA,APORTACION_FEDERAL,FECHA_CELEBRACION,CONTRATO_MARCO,COMPRA_CONSOLIDADA,PLURIANUAL,CLAVE_CARTERA_SHCP,ESTRATIFICACION_MUC,PROVEEDOR_CONTRATISTA,ESTRATIFICACION_MPC,ESTATUS_EMPRESA,CUENTA_ADMINISTRADA_POR,ANUNCIO
APF,API-Coatzacoalcos,"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V.",009J3F001,API-Coatzacoalcos-Coatzacoalcos Jefatura de Proyectos y Construcción,José Manuel Kin Galindo,777118,"DESARROLLO DE INFRAESTRUCTURA PORTUARIA EN LA LAGUNA DE PAJARITOS, ETAPA 2: CONS",16. Licitación Pública Nacional LOPSRM,LO-009J3F001-N3-2015,2015-04-08 00:00:00 GMT,2015-03-11 19:01,2015-03-27 12:00,Nacional,Obra Pública,Licitación Pública,Presencial,718045,"DESARROLLO DE INFRAESTRUCTURA PORTUARIA EN LA LAGUNA DE PAJARITOS, ETAPA 2: CONSTRUCCIÓN DE BODEGAS 1 Y 2, PARA GRANEL AGRÍCOLA Y MINERAL",2015-04-09,2015-11-30,0,MXN,Activo,No,,,,,0,0,0,,Pequeña,PUENTES Y ESTRUCTURAS TOVEGO S.A DE C.V.,,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=527616
APF,API-Coatzacoalcos,"Administración Portuaria Integral de Coatzacoalcos, S.A. de C.V.",009J3F001,API-Coatzacoalcos-Coatzacoalcos Jefatura de Proyectos y Construcción,José Manuel Kin Galindo,776590,"REHABILITACIÓN, MODERNIZACIÓN, Y ADECUACIÓN, DEL SISTEMA ELÉCTRICO, EN EL RECINT",16. Licitación Pública Nacional LOPSRM,LO-009J3F001-N2-2015,2015-04-07 00:00:00 GMT,2015-03-09 19:27,2015-03-27 10:00,Nacional,Obra Pública,Licitación Pública,Mixta,718024,"REHABILITACIÓN, MODERNIZACIÓN, Y ADECUACIÓN, DEL SISTEMA ELÉCTRICO, EN EL RECINTO PORTUARIO COATZACOALCOS, Y REUBICACIÓN DE POSTES Y SUPERPOSTES, INCLUYENDO SUSTITUCIÓN DE LUMINARIAS, Y ADECUACIÓN AL SISTEMA ELÉCTRICO, EN LA LAGUNA DE PAJARITOS",2015-04-08,2015-10-31,0,MXN,Activo,No,,,,,0,0,0,,Pequeña,"FERROELECTRICA DE AGUA DULCE, S.A. DE C.V.",,Habilitado,UC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=525922
APF,API-Dos Bocas,"Administración Portuaria Integral de Dos Bocas, S.A. de C.V.",009J2P002,API-Dos Bocas-Gerencia de Ingeniería,Fernando Hernández López,804709,Mantenimiento de Áreas Verdes del Recinto Portuario de Dos Bocas,19. Invitación a cuando menos tres Nacional LOPSRM,IO-009J2P002-N5-2015,2015-05-08 00:00:00 GMT,2015-04-23 15:59,2015-05-04 09:00,Nacional,Obra Pública,Invitación a Cuando Menos 3 Personas,Electrónica,738814,MANTENIMIENTO DE ÁREAS VERDES DEL RECINTO PORTUARIO DE DOS BOCAS,2015-05-18,2015-12-15,735984.59,MXN,Activo,No,,,,2015-05-13 00:00:00 GMT,0,0,0,,Micro,CONSTRUCCIONES CIVILES Y ELECTROMECANICAS DE PARAISO SA DE CV,Pequeña,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=546725
APF,API-Dos Bocas,"Administración Portuaria Integral de Dos Bocas, S.A. de C.V.",009J2P002,API-Dos Bocas-Gerencia de Ingeniería,Fernando Hernández López,791032,Construcción para la extracción de agua dulce y adecuación del proyecto de servi,16. Licitación Pública Nacional LOPSRM,LO-009J2P002-N4-2015,2015-04-24 00:00:00 GMT,2015-03-31 17:04,2015-04-16 09:00,Nacional,Obra Pública,Licitación Pública,Electrónica,730863,Construcción para la extracción de agua dulce y adecuación del proyecto de servicios urbanos básicos en el polígono RP-02 del Parque Industrial de Dos Bocas,2015-05-12,2015-11-08,3506982.33,MXN,Activo,No,,,,2015-05-08 00:00:00 GMT,0,0,0,0809J2P0002,Pequeña,SERVIPERF Y CONSTRUCCIONES HIDRAULICAS SA DE CV,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=537131
APF,API-Dos Bocas,"Administración Portuaria Integral de Dos Bocas, S.A. de C.V.",009J2P002,API-Dos Bocas-Gerencia de Ingeniería,Fernando Hernández López,785633,ADECUACION Y MANTENIMIENTO DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2P002-N3-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,711908,ADECUACION Y MANTENIMIENTO DE PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES,2015-03-26,2015-04-24,188518.52,MXN,Expirado,No,,,,2015-03-25 00:00:00 GMT,0,0,0,,Pequeña,ENLACE CORPORATIVO DEL SURESTE SA DE CV,Mediana,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=532273
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,810363,TRABAJOS COMPLEMENTARIOS PARA REHABILITACIÓN DE PLANTA DE TRATAMIENTO,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N12-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,735494,TRABAJOS COMPLEMENTARIOS PARA REHABILITACIÓN DE PLANTA DE TRATAMIENTO ,2015-04-30,2015-05-28,266288.9,MXN,Activo,No,,,,,0,0,0,,Micro,INGENIERIA INTEGRAL DE B C SA DE CV,Pequeña,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,810393,TRABAJOS DE MANTENIMIENTO A POZOS DE VISITA DE LA RED DE DESCARGA SANITARIA ,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N14-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,735513,TRABAJOS DE MANTENIMIENTO A POZOS DE VISITA DE LA RED DE DESCARGA SANITARIA ,2015-04-28,2015-05-05,49500,MXN,Expirado,No,,,,,0,0,0,,Micro,ROMMEL ABRAHAM RAMOS PEREZ,Micro,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,810386,ADECUACION DE INSTALACIONES ELECTRICAS PARA LA PLANTA DE TRATAMIENTO DE AGUA,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N13-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,735507,ADECUACION DE INSTALACIONES ELECTRICAS PARA LA PLANTA DE TRATAMIENTO DE AGUA ,2015-04-27,2015-05-31,32764.55,MXN,Activo,No,,,,2015-04-27 00:00:00 GMT,0,0,0,,Micro,INGENIERIA Y SERVICIOS ELECTROMECANICOS J & M SA,Mediana,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,802713,TRABAJOS DE REHABILITACION EN LINEAS DE ALIMENTACION  DE  INSTALACIONES ELECTRIC,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N11-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,724715,"TRABAJOS DE REHABILITACION EN LINEAS DE ALIMENTACION  DE  INSTALACIONES ELECTRICAS, CABLEADO Y REGISTROS, EN EL PUERTO DE EL SAUZAL, B.C.",2015-04-08,2015-04-18,28085,MXN,Terminado,,,,,,0,0,0,,Micro,ELIAS TORRES MARTINEZ,Pequeña,Habilitado,PoC,
APF,API-Ensenada,"Administración Portuaria Integral de Ensenada, S.A. de C.V.",009J2R001,"API-Ensenada-Administración Portuaria Integral de Ensenada, S.A. de C.V.",Amando Luis Azcona Martinez,802893,SUMINISTRO Y COLOCACION DE CERCO PERIMETRAL A BASE DE MALLA CICLONICA EN ZONA AD,24. Adjudicación Directa Nacional Simplificada LOPSRM,SO-009J2R001-N10-2015,,,,Nacional,Obra Pública,Adjudicación Directa Federal,,724749,"SUMINISTRO Y COLOCACION DE CERCO PERIMETRAL A BASE DE MALLA CICLONICA EN ZONA ADYACENTE A LA SEGUNDA REGIÓN NAVAL DE ENSENADA, B.C.",2015-04-03,2015-04-08,43620.5,MXN,Expirado,,,,,,0,0,0,,Micro,PATRICIA GABRIELA GARCIA PULIDO,Micro,Habilitado,PoC,https://compranet.funcionpublica.gob.mx/esop/guest/go/opportunity/detail?opportunityId=545156
